x1,x2,t
6.27,5.372,0.0
11.571,6.678,0.0
-8.231,2.524,1.0
-4.923,-8.839,1.0
1.497,-4.99,1.0
-0.876,-3.769,1.0
0.865,10.87,0.0
5.906,-4.114,0.0
5.128,-1.143,0.0
3.994,-0.626,1.0
-3.883,8.245,0.0
4.456,-4.537,1.0
4.123,2.608,0.0
-4.317,9.02,0.0
-8.531,2.283,1.0
-4.184,8.102,0.0
-6.911,-7.902,1.0
4.572,2.033,0.0
-3.862,0.883,1.0
-5.752,2.393,1.0
0.692,-1.339,0.0
6.195,7.968,0.0
0.156,-4.779,1.0
3.257,-7.12,1.0
-1.05,3.207,0.0
-7.35,5.808,1.0
-5.933,6.065,1.0
-9.149,1.593,1.0
11.827,7.574,0.0
-9.311,-3.192,1.0
4.924,-2.553,0.0
8.711,1.116,0.0
4.486,-10.089,1.0
4.784,-2.518,0.0
0.227,-0.835,1.0
-9.098,9.492,0.0
7.436,9.299,0.0
9.809,-7.829,1.0
-3.889,3.378,1.0
1.755,-5.715,1.0
-5.804,-7.692,1.0
-0.718,8.898,0.0
9.28,3.206,0.0
5.4,-1.439,0.0
9.667,2.447,0.0
4.555,7.784,0.0
-6.916,-7.935,1.0
-0.287,-9.064,1.0
7.178,-13.552,1.0
7.181,9.164,0.0
-3.27,7.662,0.0
0.743,3.46,0.0
11.686,-1.53,0.0
-4.66,4.097,1.0
2.633,10.825,0.0
0.813,3.542,0.0
8.833,1.972,0.0
-0.608,0.893,1.0
6.346,0.481,0.0
6.232,5.006,0.0
2.283,6.488,0.0
2.135,-3.31,1.0
-0.587,-8.726,1.0
-7.664,9.912,0.0
-1.009,3.58,1.0
8.541,-0.968,0.0
-5.311,8.475,0.0
-0.662,4.143,0.0
1.912,-11.509,1.0
-7.815,-3.961,1.0
-0.533,1.935,1.0
6.627,-6.825,1.0
-6.441,7.384,0.0
-8.618,2.165,1.0
-3.868,-9.474,1.0
6.489,-6.551,0.0
3.302,-7.468,1.0
-0.036,7.967,0.0
0.925,3.245,0.0
1.366,-5.533,1.0
3.166,10.297,0.0
-7.253,-2.455,1.0
10.548,-8.614,1.0
-6.778,-6.383,1.0
5.452,1.245,0.0
-2.987,-13.651,1.0
-5.776,4.365,1.0
6.029,-2.333,0.0
5.195,-3.158,1.0
7.953,2.665,0.0
-2.141,2.526,0.0
-9.721,1.127,1.0
10.002,-4.89,0.0
1.701,-4.14,1.0
0.38,-4.483,1.0
-5.527,-1.444,1.0
-1.255,0.54,1.0
-4.076,9.532,0.0
8.959,-5.954,1.0
0.046,-5.913,1.0
-6.435,8.37,0.0
-1.486,6.377,0.0
6.843,-0.375,0.0
-8.444,-11.469,1.0
-8.015,11.095,0.0
-10.985,9.947,0.0
-3.65,-7.908,1.0
10.53,-3.163,0.0
6.53,-5.166,1.0
10.754,6.89,0.0
-2.784,-7.555,1.0
2.808,6.16,0.0
8.046,-6.093,1.0
-4.61,-1.355,1.0
-8.732,5.635,1.0
4.087,7.92,0.0
-2.183,4.178,0.0
-2.199,2.694,1.0
-10.959,8.872,1.0
3.056,-7.563,1.0
-5.043,9.098,0.0
-9.012,-0.808,1.0
-9.112,1.18,1.0
-12.304,1.483,1.0
3.979,5.6,0.0
10.427,9.549,0.0
-2.758,1.554,0.0
-3.861,-2.829,1.0
-5.298,9.903,0.0
-10.13,-0.054,1.0
3.558,-3.202,1.0
7.162,2.056,0.0
5.352,0.236,1.0
2.134,7.368,0.0
5.842,-4.789,0.0
-4.557,-4.051,1.0
-10.618,-1.291,1.0
3.551,3.378,0.0
1.806,4.446,0.0
8.401,2.547,0.0
-5.388,-4.798,1.0
-4.301,-2.491,1.0
-2.674,6.141,0.0
-10.381,-8.967,1.0
8.024,0.966,0.0
2.23,2.749,0.0
5.302,2.228,0.0
-4.765,5.474,0.0
1.994,-7.483,1.0
-12.291,-0.083,1.0
7.674,10.464,0.0
1.565,-0.065,1.0
-2.085,5.059,0.0
-9.678,-0.584,1.0
-1.517,11.227,0.0
-7.941,8.248,0.0
4.827,-5.119,1.0
-0.016,-0.152,0.0
-3.481,8.446,0.0
8.047,-0.614,0.0
-4.703,-4.668,1.0
1.569,4.864,0.0
1.38,-4.425,1.0
-7.39,-3.138,1.0
-6.773,8.506,0.0
-5.998,0.161,1.0
8.031,4.391,0.0
-2.225,4.693,0.0
10.53,-4.615,0.0
-6.433,-8.478,1.0
-9.227,2.448,1.0
0.252,6.745,0.0
1.365,-6.639,1.0
7.337,-5.828,1.0
8.894,-2.05,0.0
9.532,6.363,0.0
-1.402,-8.237,1.0
6.803,4.646,0.0
1.332,7.179,0.0
-8.765,-7.328,1.0
